date,home_team,away_team,home_score,away_score,winner,loser,status,source
2025-09-04,Philadelphia Eagles,Dallas Cowboys,,,Philadelphia Eagles,Dallas Cowboys,Scheduled,PFR
2025-09-05,Los Angeles Chargers,Kansas City Chiefs,,,Los Angeles Chargers,Kansas City Chiefs,Scheduled,PFR
2025-09-07,Atlanta Falcons,Tampa Bay Buccaneers,,,Tampa Bay Buccaneers,Atlanta Falcons,Scheduled,PFR
2025-09-07,Jacksonville Jaguars,Carolina Panthers,,,Jacksonville Jaguars,Carolina Panthers,Scheduled,PFR
2025-09-07,Cleveland Browns,Cincinnati Bengals,,,Cincinnati Bengals,Cleveland Browns,Scheduled,PFR
2025-09-07,Indianapolis Colts,Miami Dolphins,,,Indianapolis Colts,Miami Dolphins,Scheduled,PFR
2025-09-07,New Orleans Saints,Arizona Cardinals,,,Arizona Cardinals,New Orleans Saints,Scheduled,PFR
2025-09-07,New England Patriots,Las Vegas Raiders,,,Las Vegas Raiders,New England Patriots,Scheduled,PFR
2025-09-07,Washington Commanders,New York Giants,,,Washington Commanders,New York Giants,Scheduled,PFR
2025-09-07,New York Jets,Pittsburgh Steelers,,,Pittsburgh Steelers,New York Jets,Scheduled,PFR
2025-09-07,Denver Broncos,Tennessee Titans,,,Denver Broncos,Tennessee Titans,Scheduled,PFR
2025-09-07,Seattle Seahawks,San Francisco 49ers,,,San Francisco 49ers,Seattle Seahawks,Scheduled,PFR
2025-09-07,Green Bay Packers,Detroit Lions,,,Green Bay Packers,Detroit Lions,Scheduled,PFR
2025-09-07,Los Angeles Rams,Houston Texans,,,Los Angeles Rams,Houston Texans,Scheduled,PFR
2025-09-07,Buffalo Bills,Baltimore Ravens,,,Buffalo Bills,Baltimore Ravens,Scheduled,PFR
2025-09-08,Chicago Bears,Minnesota Vikings,,,Minnesota Vikings,Chicago Bears,Scheduled,PFR
